Country,Average Decade Change,Average Decade Change (%),1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,2020 Global Rank,2020 Global Percent,2020 Median Age,2020 Birth Rate,2020 Migrants
Afghanistan,5643852,33,10752971,12486631,10694796,19542982,28189672,38972230,28219259,37,0.5,18,4.6,-62920.0
Albania,108424,5,2324731,2941651,3295066,3182021,2913399,2866849,542118,138,0.04,36,1.6,-14000.0
Algeria,5931150,26,13795915,18739378,25518074,30774621,35856344,43451666,29655751,35,0.55,29,3.1,-10000.0
American Samoa,3823,13,27075,32886,47818,58230,54849,46189,19114,212,0.0,Unknown,Unknown,Unknown
Andorra,11568,34,19860,35611,53569,66097,71519,77700,57840,203,0.0,Unknown,Unknown,Unknown
Angola,5479757,41,6029700,8330047,11828638,16394062,23364185,33428485,27398785,43,0.43,17,5.6,6413.0
Anguilla,1860,20,6283,6560,8316,11047,13172,15585,9302,224,0.0,Unknown,Unknown,Unknown
Antigua and Barbuda,5630,8,64516,64888,63328,75055,85695,92664,28148,201,0.0,34,2.0,0.0
Argentina,4238646,14,23842803,28024803,32637657,37070774,41100123,45036032,21193229,31,0.57,32,2.3,4800.0
Armenia,54246,3,2534377,3135123,3556539,3168523,2946293,2805608,271231,141,0.04,35,1.8,-4998.0
Aruba,9496,13,59106,62267,65712,89101,100341,106585,47479,196,0.0,41,1.9,201.0
Australia,2615003,15,12595034,14706322,17048003,19017963,22019168,25670051,13075017,55,0.33,38,1.8,158246.0
Austria,288495,4,7465301,7547561,7678729,8010428,8362829,8907777,1442476,98,0.11,43,1.5,65000.0
Azerbaijan,971927,14,5425317,6383060,7427836,8190337,9237202,10284951,4859634,91,0.13,32,2.1,1200.0
Bahamas,45468,18,179129,223752,270679,325014,373272,406471,227342,176,0.01,32,1.8,1000.0
Bahrain,250983,47,222555,362595,517418,711442,1213645,1477469,1254914,154,0.02,32,2.0,47800.0
Bangladesh,19975818,20,67541860,83929765,107147651,129193327,148391139,167420951,99879091,8,2.14,28,2.1,-369501.0
Barbados,7859,3,241397,253575,258868,264657,274711,280693,39296,186,0.0,40,1.6,-79.0
Belarus,92591,1,9170786,9817257,10428525,10256483,9731427,9633740,462954,95,0.12,40,1.7,8730.0
Belgium,386468,4,9629376,9828986,9959560,10264343,10877947,11561717,1932341,81,0.15,42,1.7,48000.0
Belize,54803,27,120905,145133,182589,240406,322106,394921,274016,178,0.01,25,2.3,1200.0
Benin,1923936,33,3023443,3833939,5133419,6998023,9445710,12643123,9619680,77,0.16,19,4.9,-2000.0
Bermuda,2402,4,52019,53565,57470,61371,63447,64031,12012,206,0.0,Unknown,Unknown,Unknown
Bhutan,94722,22,298894,415257,558442,587207,705516,772506,473612,165,0.01,28,2.0,320.0
Bolivia,1470094,21,4585693,5736088,7096194,8592656,10223270,11936162,7350469,80,0.15,26,2.8,-9504.0
Bosnia and Herzegovina,-99431,-2,3815561,4199820,4494310,4179350,3811088,3318407,-497154,134,0.04,43,1.3,-21585.0
Botswana,390832,35,592244,938578,1341474,1726985,2091664,2546402,1954158,144,0.03,24,2.9,3000.0
Brazil,23365286,17,96369875,122288383,150706446,175873720,196353492,213196304,116826429,6,2.72,33,1.7,21200.0
British Virgin Islands,4266,27,9581,11109,15617,20104,27556,30910,21329,221,0.0,Unknown,Unknown,Unknown
Brunei,61676,28,133343,187921,261928,333926,396053,441725,308382,175,0.01,32,1.8,0.0
Bulgaria,-320755,-4,8582950,8980606,8767778,8097691,7592273,6979175,-1603775,106,0.09,45,1.6,-4800.0
Burkina Faso,3182192,31,5611666,6932967,9131361,11882888,16116845,21522626,15910960,59,0.27,18,5.2,-25000.0
Burundi,1744479,29,3497834,4312834,5483793,6307659,9126605,12220227,8722393,78,0.16,17,5.5,2001.0
Cambodia,1937667,21,6708525,6198959,8910808,12118841,14363532,16396860,9688335,73,0.21,26,2.5,-30000.0
Cameroon,4007660,33,6452787,8519891,11430520,15091594,19878036,26491087,20038300,53,0.34,19,4.6,-4800.0
Canada,3290826,12,21434577,24511510,27657204,30683313,33963412,37888705,16454128,39,0.48,41,1.5,242032.0
Cape Verde,59076,15,287262,317234,364563,458251,521212,582640,295378,171,0.01,Unknown,Unknown,Unknown
Cayman Islands,11356,46,10533,17100,26027,39658,54074,67311,56778,205,0.0,Unknown,Unknown,Unknown
Central African Republic,655133,21,2067356,2415276,2809221,3759170,4660067,5343020,3275664,120,0.07,18,4.8,-40000.0
Chad,2595461,36,3667394,4408230,5827069,8259137,11894727,16644701,12977307,70,0.21,17,5.8,2000.0
Chile,1895967,14,9820481,11469828,13342868,15351799,17004162,19300315,9479834,64,0.25,35,1.7,111708.0
China,120479066,12,822534450,982372466,1153704252,1264099069,1348191368,1424929781,602395331,1,18.18,38,1.7,-348399.0
Colombia,6005082,20,20905254,26176195,32601393,39215135,44816108,50930662,30025408,29,0.65,31,1.8,204796.0
Comoros,112763,27,242351,328328,431119,536758,656024,806166,563815,163,0.01,20,4.2,-2000.0
Cook Islands,-688,-3,20470,17651,17123,15897,17212,17029,-3441,223,0.0,Unknown,Unknown,Unknown
Costa Rica,653482,23,1855697,2414303,3158253,3979193,4622252,5123105,3267408,121,0.07,33,1.8,4200.0
